unique_hash,drug,true,predicted,mention_count,vader_window_compound,window
f90971357019d421589d7e4b77eefa42bc94f664,ocrevus,positive,neutral,1,0.643,i do not know much about the data for targetdrug but as it has an effect on progressive ms it is likely to be altering the course of brain atrophy once it has already begun
c450448fbe78858cf6d6b6b90452a65203747b78,remicade,negative,neutral,1,0.0,was on targetdrug now on otherdrug
d9757936c72356f866ec14288198a53742c11db3,alectinib,positive,neutral,3,0.883,again nsclc alk positive and began new targetdrug therapy this drug targetdrug much easier to tolerate than otherdrug and otherdrug not many studies for us at this point but if anyone knows about prognosis with targetdrug and how long efficacy pertaining to central nervous system please let me know
7c50bd254b44df4cd10ebc7e752ea96db09002db,remicade,neutral,negative,2,-0.637,about 3 weeks into starting the plaquenil and two weeks after my last targetdrug all of my aches went away and i felt like things were manageable now i wake of today 4 days after another dose of targetdrug and i feel like total junk
7696cedfeeaec56ebe0a1ef4189c8550652bb63e,avastin,negative,neutral,1,-0.115,my experiences have been abraxane targetdrug combo 6 months stopped bc it was kicking my butt even though it was still working
5a2ab13e1bde642a4c3d1b0c9ffcdd0f1abbf82f,ocrevus,neutral,negative,1,-0.953,my neurologist insists that these problems are not from the targetdrug i call bs and i will not be getting the next infusion
982967d82dce9501d9cbd88bd257500929b657bd,keytruda,positive,neutral,1,0.0,hi deb1313 i too have nsclc and was treated with targetdrug
e0cb10f541366d9cd194af5abbe4e2ff3da468dc,ozurdex,neutral,negative,1,-0.077,sorry should read targetdrug
ec33454d4ab47d7d4cb523a8a10759307f16d97a,lucentis,neutral,positive,1,-0.037,at that point it was a total vision loss but with immediate treatment started with targetdrug injections and i have recovered a lot of the sight
6439ec86d63e7d3e8a263a6787010c2ae3463666,pemetrexed,positive,neutral,1,0.296,i was able to get my mother one shot of cimavax and very rapidly had to swich to carbo targetdrug
67f67cc59737c91e3fd63d7d0b8c4a191ccfb39f,gilenya,positive,neutral,1,0.402,hi megdunks yes i came off tecfidera and am starting targetdrug in hospital on monday the 10th
3f42918ff586009bf0375d7fc23de661d69e032c,cladribine,negative,neutral,2,0.0,day two of my targetdrug i got a phone call from the royal london to say the made up targetdrug had arrived from barts
2a62fe9144feb9015c2a2e71c664df6dfa6e5fba,siponimod,neutral,positive,4,0.97,2 year data positive in extension study but no control group an extension of the phase ii bold study found sustained reductions in gadolinium enhancing t1 and new or enlarging t2 lesions over 2 years with targetdrug in patients with relapsing remitting multiple sclerosis rrms researchers reported targetdrug is an oral once daily selective sphingosine 1 phosphate receptor modulator which is thought
018a5aec75bfcff6df6c800ce4e6e0018a4b9f69,remicade,neutral,negative,2,-0.772,my younger brother was on targetdrug for 10 years and yes it helped him with the uc but he just passed away from cancer and liver failure at 27 years old most likely from the years of targetdrug
4413ddcae5a5293f9f4f997a6a10a2a6f5aaa1ae,gilenya,neutral,negative,1,0.718,so as to whether they work alongside targetdrug is possibly irrelevant
d8701281a490addc5d5e7c037a164e27c37d9bd6,keytruda,negative,neutral,2,0.927,she does get very nauseous and then dehydrated or sometimes the dehydration from the targetdrug makes her sick so it s a struggle for sure targetdrug really is working well for her
424ff27eec33790c6eedc0dd15b765b67f725ae5,remicade,positive,neutral,1,0.625,i was on targetdrug for nearly 5 years
0245c52d8b29d9bab3be847860f013df59856f99,opdivo,negative,neutral,23,-0.939,targetdrug why is this medicine prescribed ? targetdrug injection is used alone or in combination with otherdrug otherdrug to treat certain types of hcc a type of liver cancer in people who were previously treated with sorafenib nexafar targetdrug is in a class of medications called monoclonal antibodies targetdrug comes as a liquid to be injected into a vein over 30 minutes by a doctor or nurse i
7a67f763ee6e55747c70372ea950ab7b8efd3469,cladribine,negative,neutral,1,-0.686,meanwhile if you try tecfidera but find you are still relapsing or that the side effects are too bad then you still have the possibility of otherdrug or hsct or indeed targetdrug
39e389361c6547ec57162e7c102851c94464ed7e,ocrelizumab,negative,neutral,1,-0.153,hypogammaglobulinaemia with infections is a well described complication of long term rituximab use and will almost certainly occur with targetdrug
77d4321ca3ac7123e15e362a428b571bc475e8e2,ocrevus,negative,neutral,4,0.388,most neuros are going to infuse a person with ms with 600mg of targetdrug every six months period end of discussion that s what the fda approved and by god my sincere apologies no offense is intended 600mg every six months is what you are going to get even if it kills you and for some it may if an increased cancer risk is demonstrated infusing targetdrug every six months since targetdrug is almost
b58384add0d268333b4f54b30526e535c101a30e,lucentis,neutral,positive,1,0.934,with the wet amd you will have the targetdrug injections in the eyes which definitely can help give it time if this does not help there are the eleya injections
6ef1aa9ea4ed2dce647f26495453074972016679,siponimod,neutral,positive,1,-0.318,sep 9 2016 patients with relapsing remitting multiple sclerosis rrms receiving targetdrug treatment for 24 months had low disease activity and showed no new safety signals according to an extension of the phase 2 baf312 on mri lesion given once daily bold study
41290dbc5ce8fec5eb15462bb91d5ddc917d532d,keytruda,neutral,negative,1,0.68,since cbd thc can interfere with targetdrug i would advise you to stop it
c28f93d2f4a996340c3e73fbe2a30c1fc4d2e73d,alimta,negative,neutral,1,-0.103,he had a pneumonectomy and a course of adjuvant chemo carbo targetdrug within 6 months of diagnosis in 2014 age 67
236a8be8c0be7c9e71276270595527bdb33dad9e,ocrelizumab,positive,negative,1,-0.67,i am currently taking targetdrug fusions and i have had no new activity or any reactions
23a5ef6f68af81cfc5299fdf5e9bfd56ebf09251,ocrevus,neutral,negative,1,-0.66,with ms i take targetdrug which wipes out my immune fighting b cells
819beff8f429359e4742560a04a44ffb765e2474,nivolumab,negative,neutral,1,-0.902,they started her on targetdrug after her cancer recurred last october
2e28dbf68a77eb8b242017e80e3338bf7172e9cf,opdivo,neutral,positive,4,-0.804,i wanted to share my father s experience because targetdrug gave him almost three years of life and two of them were very good quality he then was lucky to move over to an targetdrug trial which made the two intial masses disappear he had no side effects from targetdrug and lived a very full and active life until the brain metastasis two years after diagnosis he continued targetdrug treatment unti
5062c55c3304d17506a0d49a3e9f4559d6522786,lucentis,neutral,positive,1,0.789,i think i can claim fame having had 43 targetdrug injections in my right eye ! !
3cac884db43a1885bcd5d9e53418269b63ba22fa,ocrelizumab,positive,neutral,1,0.526,you may be right targetdrug is a more effective depletor and so people get more relatively more antibody than with rituximab maybe this is the issue
57d3cd5a844a2b64ed9380bbd595de8e5e39272a,upadacitinib,neutral,positive,6,0.893,abbvie s jak1 inhibitor targetdrug has proved more effective than the company s widely used tnf blocker otherdrug in a phase ii trial in rheumatoid arthritis patients without adding to a tally of thrombotic side effects targetdrug met all the primary and secondary endpoints in the select compare study outperforming both placebo and otherdrug otherdrug on a and 6 of the placebo group a 20 or more i
e629ad9cca620acbe8e78905d00c32942f3f07d3,ocrelizumab,neutral,negative,2,-0.8,when it says although incidence rates of malignancies and breast cancer observed in patients with ms who were treated with targetdrug remain within the range of epidemiological background data this imbalance of breast cancer cases in the targetdrug group will be better characterized with longer follow up monitoring it sounds much worse than it is
c02d8944bb5396b058ec3ce863a2b44f744c432f,tarceva,neutral,negative,3,-0.861,than biopsy shows l858r mutation and i started targetdrug 2 5 months ago i thought probably my pain is related to toxicity from targetdrug and started doxycycline so i did not have a chance to use doxycycline for long enough time before and never had a chance to have only targetdrug but always with some antibiotics
47e0629d6b8d8bac9987168d84f128c53b11571a,ocrelizumab,neutral,positive,1,0.555,over twenty years and targetdrug is the best that our scientists can come up with !
2afad75e373caefcc56a9c70116b7941e4c5a9a7,gilenya,neutral,negative,2,0.896,my neuro has agreed to me going back on targetdrug as long as all the blood tests i need before i have it come back ok for mmhhpp i stopped targetdrug to go on otherdrug
25b2967506382fc84063b0676a99e22c8f3c1444,remicade,neutral,negative,6,-0.551,i have been on targetdrug for 13 months and as far as my crohns goes it has been working great no inflammation on last colonoscopy i was on otherdrug previous to that and developed fairly severe muscle pain and after a colonoscopy discovered that otherdrug was not working anyways so switched to targetdrug my anti body level is high and even though i am on a six week cycle there was no targetdrug l
